word,word_author,GPT_diff,Claude_diff
zhonnek,gpt,0.33333333333333326,0.0
tsorim,gpt,0.3333333333333333,-0.05555555555555555
mazindiri,claude,0.3888888888888889,-0.05555555555555555
mbelako,gpt,0.38888888888888895,0.05555555555555555
qualvance,gpt,0.38888888888888895,-0.1111111111111111
skalveggur,claude,0.4444444444444445,-0.3333333333333333
quemberish,claude,0.44444444444444453,0.0
dravosh,gpt,0.5,0.0
krugnathar,claude,0.5,0.0
tipalua,claude,0.5,0.0
sorvanu,gpt,0.5555555555555556,0.0
evaruq,gpt,0.611111111111111,-0.05555555555555555
talonvek,gpt,0.611111111111111,0.0
babulemir,claude,0.6111111111111112,0.0
glimberth,claude,0.6111111111111112,0.0
brindleth,gpt,0.6666666666666667,0.0
kawawanga,claude,0.6666666666666667,0.0
mirellek,gpt,0.6666666666666667,0.0
mavika,gpt,0.7222222222222222,-0.055555555555555525
florrindel,claude,0.7222222222222223,-0.05555555555555555
zhenkayo,claude,0.7222222222222223,-0.05555555555555555
xochalen,gpt,0.7777777777777778,0.05555555555555555
vrishnokov,claude,0.9444444444444444,0.0
